Epoch 112/500 | latent_loss=0.001263 | mask_loss=0.000748 | total_loss=0.002011 | epoch_time=8.2s | eta=55.1m (finishes ~ 03:24:06)
Epoch 113/500 | latent_loss=0.001262 | mask_loss=0.000742 | total_loss=0.002005 | epoch_time=8.5s | eta=54.9m (finishes ~ 03:24:06)
Epoch 114/500 | latent_loss=0.001262 | mask_loss=0.000737 | total_loss=0.001999 | epoch_time=8.6s | eta=54.8m (finishes ~ 03:24:06)
Epoch 115/500 | latent_loss=0.001262 | mask_loss=0.000731 | total_loss=0.001993 | epoch_time=8.2s | eta=54.6m (finishes ~ 03:24:05)
Epoch 116/500 | latent_loss=0.001261 | mask_loss=0.000725 | total_loss=0.001987 | epoch_time=8.8s | eta=54.5m (finishes ~ 03:24:07)
Epoch 117/500 | latent_loss=0.001261 | mask_loss=0.000720 | total_loss=0.001981 | epoch_time=8.3s | eta=54.3m (finishes ~ 03:24:06)
Epoch 118/500 | latent_loss=0.001261 | mask_loss=0.000715 | total_loss=0.001975 | epoch_time=8.2s | eta=54.2m (finishes ~ 03:24:04)
Epoch 119/500 | latent_loss=0.001260 | mask_loss=0.000710 | total_loss=0.001970 | epoch_time=8.9s | eta=54.1m (finishes ~ 03:24:06)
Epoch 120/500 | latent_loss=0.001260 | mask_loss=0.000705 | total_loss=0.001965 | epoch_time=8.5s | eta=53.9m (finishes ~ 03:24:06)
Epoch 121/500 | latent_loss=0.001260 | mask_loss=0.000700 | total_loss=0.001959 | epoch_time=8.8s | eta=53.8m (finishes ~ 03:24:07)
Epoch 122/500 | latent_loss=0.001260 | mask_loss=0.000695 | total_loss=0.001954 | epoch_time=8.5s | eta=53.7m (finishes ~ 03:24:07)
Epoch 123/500 | latent_loss=0.001259 | mask_loss=0.000690 | total_loss=0.001949 | epoch_time=8.5s | eta=53.5m (finishes ~ 03:24:07)
Epoch 124/500 | latent_loss=0.001259 | mask_loss=0.000685 | total_loss=0.001944 | epoch_time=8.6s | eta=53.4m (finishes ~ 03:24:07)
Epoch 125/500 | latent_loss=0.001259 | mask_loss=0.000681 | total_loss=0.001939 | epoch_time=8.4s | eta=53.2m (finishes ~ 03:24:07)
Epoch 126/500 | latent_loss=0.001258 | mask_loss=0.000676 | total_loss=0.001935 | epoch_time=8.2s | eta=53.1m (finishes ~ 03:24:06)
Epoch 127/500 | latent_loss=0.001258 | mask_loss=0.000672 | total_loss=0.001930 | epoch_time=8.0s | eta=52.9m (finishes ~ 03:24:04)
Epoch 128/500 | latent_loss=0.001258 | mask_loss=0.000668 | total_loss=0.001925 | epoch_time=8.0s | eta=52.7m (finishes ~ 03:24:02)
Epoch 129/500 | latent_loss=0.001258 | mask_loss=0.000663 | total_loss=0.001921 | epoch_time=8.8s | eta=52.6m (finishes ~ 03:24:03)
Epoch 130/500 | latent_loss=0.001257 | mask_loss=0.000659 | total_loss=0.001917 | epoch_time=8.5s | eta=52.5m (finishes ~ 03:24:03)
Epoch 131/500 | latent_loss=0.001257 | mask_loss=0.000655 | total_loss=0.001912 | epoch_time=8.6s | eta=52.3m (finishes ~ 03:24:03)
Epoch 132/500 | latent_loss=0.001257 | mask_loss=0.000651 | total_loss=0.001908 | epoch_time=8.0s | eta=52.2m (finishes ~ 03:24:01)
Epoch 133/500 | latent_loss=0.001256 | mask_loss=0.000647 | total_loss=0.001904 | epoch_time=8.6s | eta=52.0m (finishes ~ 03:24:02)
Epoch 134/500 | latent_loss=0.001256 | mask_loss=0.000644 | total_loss=0.001900 | epoch_time=8.5s | eta=51.9m (finishes ~ 03:24:02)
Epoch 135/500 | latent_loss=0.001256 | mask_loss=0.000640 | total_loss=0.001896 | epoch_time=8.3s | eta=51.7m (finishes ~ 03:24:01)
Epoch 136/500 | latent_loss=0.001256 | mask_loss=0.000637 | total_loss=0.001892 | epoch_time=8.6s | eta=51.6m (finishes ~ 03:24:01)
Epoch 137/500 | latent_loss=0.001255 | mask_loss=0.000633 | total_loss=0.001888 | epoch_time=8.5s | eta=51.5m (finishes ~ 03:24:02)
Epoch 138/500 | latent_loss=0.001255 | mask_loss=0.000629 | total_loss=0.001884 | epoch_time=8.2s | eta=51.3m (finishes ~ 03:24:00)
Epoch 139/500 | latent_loss=0.001255 | mask_loss=0.000626 | total_loss=0.001881 | epoch_time=8.6s | eta=51.2m (finishes ~ 03:24:01)
